simulation_id,round_number,team_id,passengers,revenue,variable_cost,fixed_cost,branding_cost,product_cost,total_cost,profit,market_share_volume,market_share_profit,load_factor,avg_revenue_per_flight,avg_cost_per_flight,avg_profit_per_flight,price_business,price_leisure,csi,oei,created_at_utc
sim_smoke,0,A,26400,22292000.0,4092000,2700000,5000000,4000000,15792000,6500000,0.22,0.26,0.88,148613.33,105280.0,43333.33,450,220,88,78,2026-03-08T23:22:03.711228+00:00
sim_smoke,0,B,22800,15836000.0,3876000,2160000,3000000,2000000,11036000,4800000,0.19,0.19,0.95,131966.67,91966.67,40000.0,360,180,82,72,2026-03-08T23:22:03.711228+00:00
sim_smoke,0,C,21600,15816000.0,3456000,2160000,3000000,3000000,11616000,4200000,0.18,0.17,0.9,131800.0,96800.0,35000.0,360,180,76,74,2026-03-08T23:22:03.711228+00:00
sim_smoke,0,D,19200,12156000.0,2496000,2160000,1000000,2000000,7656000,4500000,0.16,0.18,0.8,101300.0,63800.0,37500.0,290,140,68,86,2026-03-08T23:22:03.711228+00:00
sim_smoke,0,E,15600,9336000.0,1716000,1620000,1000000,3000000,7336000,2000000,0.13,0.08,0.8667,103733.33,81511.11,22222.22,290,140,62,90,2026-03-08T23:22:03.711228+00:00
sim_smoke,1,A,18000,14904000.00,2790000.00,1620000.00,3000000.00,2000000.00,9410000.00,5494000.00,0.200000,0.193655,1.0000,165600.00,104555.56,61044.44,360.00,180.00,88,78,2026-03-08T23:22:18.755817+00:00
sim_smoke,1,B,18000,14904000.00,3060000.00,1620000.00,3000000.00,2000000.00,9680000.00,5224000.00,0.200000,0.184138,1.0000,165600.00,107555.56,58044.44,360.00,180.00,82,72,2026-03-08T23:22:18.755817+00:00
sim_smoke,1,C,18000,14904000.00,2880000.00,1620000.00,3000000.00,2000000.00,9500000.00,5404000.00,0.200000,0.190483,1.0000,165600.00,105555.56,60044.44,360.00,180.00,76,74,2026-03-08T23:22:18.755817+00:00
sim_smoke,1,D,18000,14904000.00,2340000.00,1620000.00,3000000.00,2000000.00,8960000.00,5944000.00,0.200000,0.209517,1.0000,165600.00,99555.56,66044.44,360.00,180.00,68,86,2026-03-08T23:22:18.755817+00:00
sim_smoke,1,E,18000,14904000.00,1980000.00,1620000.00,3000000.00,2000000.00,8600000.00,6304000.00,0.200000,0.222207,1.0000,165600.00,95555.56,70044.44,360.00,180.00,62,90,2026-03-08T23:22:18.755817+00:00
