simulation_id,round_number,team_id,flights_per_day,price_business,price_leisure,branding_level,product_strategy,submitted_at_utc
sim_001,1,A,5,250.0,130.0,High,Premium Cabin,2026-03-01T13:25:23.781612+00:00
sim_001,1,B,4,360.0,180.0,Medium,Digital/Loyalty,2026-03-01T13:25:23.781612+00:00
sim_001,1,C,4,360.0,180.0,Medium,Basic Economy,2026-03-01T13:25:23.781612+00:00
sim_001,1,D,4,290.0,140.0,Low,Digital/Loyalty,2026-03-01T13:25:23.781612+00:00
sim_001,1,E,3,290.0,140.0,Low,Basic Economy,2026-03-01T13:25:23.781612+00:00
sim_001,1,F,3,450.0,220.0,Medium,Digital/Loyalty,2026-03-01T13:25:23.781612+00:00
sim_001,2,A,5,220.0,120.0,High,Premium Cabin,2026-03-01T13:28:54.214502+00:00
sim_001,2,B,4,360.0,180.0,Medium,Digital/Loyalty,2026-03-01T13:28:54.214502+00:00
sim_001,2,C,4,360.0,180.0,Medium,Basic Economy,2026-03-01T13:28:54.214502+00:00
sim_001,2,D,4,290.0,140.0,Low,Digital/Loyalty,2026-03-01T13:28:54.214502+00:00
sim_001,2,E,3,290.0,140.0,Low,Basic Economy,2026-03-01T13:28:54.214502+00:00
sim_001,2,F,3,450.0,220.0,Medium,Digital/Loyalty,2026-03-01T13:28:54.214502+00:00
